ritual_number,ritual_name,feature_label,coder1,coder2,disagreement_type,text_excerpt
Ritual139,Kava Ceremony,Synchronous Singing,1,0,Coder1 Only,"Kava Ceremony

Kava drinking is part of all important ceremonials. It is indispensable in rites connected with the chief--his death, marriage, circumcision; the reception of a visiting chief; and the "
Ritual143,Funeral,Synchronous Singing,1,0,Coder1 Only,"Death

Dying or fainting is expressed by thimba . A man who is unconscious is said not to perceive his soul.

A dying man is dressed in a shirt and white kilt. Of old if he was a nobleman the house wo"
Ritual149,Funeral,Synchronous Singing,1,0,Coder1 Only,"Death and Burial Customs

As the previous comments have shown, there are neither birth nor marriage ceremonies among the Surára and Pakidái. The social and religious life is therefore dominated all th"
Ritual157,Curing Ritual,Synchronous Singing,1,0,Coder1 Only,"Curing

Curing practice lacks the mise en scène of the winter performance held in the figure-decked shaman’s lodge, for it always takes place in the patient’s home. Nevertheless, it must be quite an i"
Ritual168,Girka,Synchronous Singing,1,0,Coder1 Only,"One final point can be made about the social dynamics of cult ritual, and that includes the differentiation and integration of initiates. During the girka ritual the poles of cult leadership are symbo"
Ritual169,Periodic Possession-Trance Ceremonies,Synchronous Singing,1,0,Coder1 Only,"Periodic Possession-Trace Performances

As suggested above one of the obligations of a cult-adept is regularly to provide his services as a mount for the spirits on his head. There, perhaps, psycholog"
Ritual233,Corn Offering Ritual,Synchronous Singing,1,0,Coder1 Only,"Corn and Meat Offerings

The leading south side priest says, “It is time that we eat.” They place the first kettle between the entrance and the fire with the eight wooden bowls around it (Figure 24). "
Ritual234,Meat Offering Ritual,Synchronous Singing,1,0,Coder1 Only,"After they have eaten the corn, it is time to cut up the meat, put it in the kettle, and boil it. When all the meat is put into the kettle, a piece of it and a piece of fat are put in a wooden bowl an"
Ritual238,Great Washing Ceremony,Synchronous Singing,1,0,Coder1 Only,"Great Washing Ceremony

We now come to a very peculiar ceremony, the ritual for which belongs to the Big Black Meteoric Star bundle. Consequently, the leading bundle in charge now must give way to thi"
Ritual30,Marriage Ceremony,Synchronous Singing,1,0,Coder1 Only,"Marriage

THE choice of a bride is limited firstly by the strict observance of tribal endogamy. No Santal who forms an alliance with a non-Santal can hope to be reinstated in society. The only cases t"
Ritual300,Funeral,Synchronous Singing,1,0,Coder1 Only,"Funerary Customs and Religious Symbolism Among the Kogi

Near the Caribbean seaboard in the northern lowlands of Colombia rises an isolated mountain massif, the Sierra Nevada de Santa Marta. At the ti"
Ritual310,Ceremonial Collection of Bride Price,Synchronous Singing,1,0,Coder1 Only,"In most societies the ceremony that marks the start of married life and is called a wedding, usually centers around the groom and the bride and their unification. One would seek such a wedding among t"
Ritual41,Holy Week Fiesta,Synchronous Singing,0,1,Coder2 Only,"Holy Week

Before the fiesta started, arches were made of curved slender tree trunks and covered with pine branches. Twelve of these were placed around the church door, one next to the cross in the ch"
Ritual43,Native Fiestas,Synchronous Singing,0,1,Coder2 Only,"Native Fiestas

The native fiestas are those which involve the Tarahumara’s daily home life, as contrasted to the church fiestas, which are performed at the church on the Catholic holy days. The disti"
Ritual487,Rites of Kekesi,Synchronous Singing,1,0,Coder1 Only,"2. THE KEKESI RITES.—Closely following the commencement of the Food Worship on the lower Mamba, a curious movement was introduced to the people of the village Manau, on the coast near the mouth of the"
Ritual494,Special Kava Ceremony Associated with Wedding,Synchronous Singing,1,0,Coder1 Only,"Marriage Ceremony

The patterns governing the marriage ceremony in the village today show a natural blending of the old and the new. This may be best emphasized by outlining the formal marriage ceremo"
Ritual53,"Feast of Yulyuz to the Saint, Lalla Aziza",Synchronous Singing,1,0,Coder1 Only,"The Rite

First, there are, as has been seen, two great sacrifices to Lalla Aziza. The one is inserted in the naturist calendar already opened by all the collections of the first fruits, of which it i"
Ritual58,Funerary Proceedings: The Mori of the Spotted Ounce,Synchronous Singing,1,0,Coder1 Only,"The Mori of the Spotted Ounce

The man who received the hide of the ounce is required to make a bow and arrows and various ornaments of his own clan for the person who killed the ounce. After fifteen "
Ritual59,Funerary Proceedings: The Marrido,Synchronous Singing,1,0,Coder1 Only,"The Marrido

About fifteen days after the burial, when the bones are becoming defleshed, at twilight the songs start again up to dawn of the next day. Around noon the young men start the game of the m"
